Id,ItemId,LocalLanguageId,Name
123,13,4,黑暗球
124,13,5,Sombre Ball
125,13,6,Finsterball
126,13,7,Ocaso Ball
127,13,8,Scuro Ball
128,13,9,Dusk Ball
129,13,11,ダークボール
130,13,12,黑暗球
131,14,1,ヒールボール
132,14,3,힐볼
133,14,4,治癒球
134,14,5,Soin Ball
135,14,6,Heilball
136,14,7,Sana Ball
137,14,8,Cura Ball
138,14,9,Heal Ball
139,14,11,ヒールボール
140,14,12,治愈球
141,15,1,クイックボール
142,15,3,퀵볼
143,15,4,先機球
144,15,5,Rapide Ball
145,15,6,Flottball
146,15,7,Veloz Ball
147,15,8,Velox Ball
148,15,9,Quick Ball
149,15,11,クイックボール
150,15,12,先机球
151,16,1,プレシャスボール
152,16,3,프레셔스볼
153,16,4,貴重球
154,16,5,Mémoire Ball
155,16,6,Jubelball
156,16,7,Gloria Ball
157,16,8,Pregio Ball
158,16,9,Cherish Ball
159,16,11,プレシャスボール
160,16,12,贵重球
161,17,1,キズぐすり
162,17,3,상처약
163,17,4,傷藥
164,17,5,Potion
165,17,6,Trank
166,17,7,Poción
167,17,8,Pozione
168,17,9,Potion
169,17,11,キズぐすり
170,17,12,伤药
171,18,1,どくけし
172,18,3,해독제
173,18,4,解毒藥
174,18,5,Antidote
175,18,6,Gegengift
176,18,7,Antídoto
177,18,8,Antidoto
178,18,9,Antidote
179,18,11,どくけし
180,18,12,解毒药
181,19,1,やけどなおし
182,19,3,화상치료제
183,19,4,灼傷藥
184,19,5,Anti-Brûle
185,19,6,Feuerheiler
186,19,7,Antiquemar
187,19,8,Antiscottatura
188,19,9,Burn Heal
189,19,11,やけどなおし
190,19,12,灼伤药
191,20,1,こおりなおし
192,20,3,얼음상태치료제
193,20,4,解凍藥
194,20,5,Antigel
195,20,6,Eisheiler
196,20,7,Antihielo
197,20,8,Antigelo
198,20,9,Ice Heal
199,20,11,こおりなおし
200,20,12,解冻药
201,21,1,ねむけざまし
202,21,3,잠깨는약
203,21,4,解眠藥
204,21,5,Réveil
205,21,6,Aufwecker
206,21,7,Despertar
207,21,8,Sveglia
208,21,9,Awakening
209,21,11,ねむけざまし
210,21,12,解眠药
211,22,1,まひなおし
212,22,3,마비치료제
213,22,4,解麻藥
214,22,5,Anti-Para
215,22,6,Para-Heiler
216,22,7,Antiparalizador
217,22,8,Antiparalisi
218,22,9,Paralyze Heal
219,22,11,まひなおし
220,22,12,解麻药
221,23,1,かいふくのくすり
222,23,3,회복약
223,23,4,全復藥
224,23,5,Guérison
225,23,6,Top-Genesung
226,23,7,Restaurar Todo
227,23,8,Ricarica totale
228,23,9,Full Restore
229,23,11,かいふくのくすり
230,23,12,全复药
231,24,1,まんたんのくすり
232,24,3,풀회복약
233,24,4,全滿藥
234,24,5,Potion Max
235,24,6,Top-Trank
236,24,7,Poción Máxima
237,24,8,Pozione Max
238,24,9,Max Potion
239,24,11,まんたんのくすり
240,24,12,全满药
241,25,1,すごいキズぐすり
242,25,3,고급상처약
243,25,4,厲害傷藥
244,25,5,Hyper Potion
245,25,6,Hypertrank
246,25,7,Hiperpoción
247,25,8,Iperpozione
248,25,9,Hyper Potion
249,25,11,すごいキズぐすり
250,25,12,厉害伤药
251,26,1,いいキズぐすり
252,26,3,좋은상처약
253,26,4,好傷藥
254,26,5,Super Potion
255,26,6,Supertrank
256,26,7,Superpoción
257,26,8,Superpozione
258,26,9,Super Potion
259,26,11,いいキズぐすり
260,26,12,好伤药
261,27,1,なんでもなおし
262,27,3,만병통치제
263,27,4,萬靈藥
264,27,5,Total Soin
265,27,6,Hyperheiler
266,27,7,Cura Total
267,27,8,Cura totale
268,27,9,Full Heal
269,27,11,なんでもなおし
270,27,12,万灵药
271,28,1,げんきのかけら
272,28,3,기력의조각
273,28,4,活力碎片
274,28,5,Rappel
275,28,6,Beleber
276,28,7,Revivir
277,28,8,Revitalizzante
278,28,9,Revive
279,28,11,げんきのかけら
280,28,12,活力碎片
281,29,1,げんきのかたまり
282,29,3,기력의덩어리
283,29,4,活力塊
284,29,5,Rappel Max
285,29,6,Top-Beleber
286,29,7,Revivir Máximo
287,29,8,Revitalizz. Max
288,29,9,Max Revive
289,29,11,げんきのかたまり
290,29,12,活力块
291,30,1,おいしいみず
292,30,3,맛있는물
293,30,4,美味之水
294,30,5,Eau Fraîche
295,30,6,Tafelwasser
296,30,7,Agua Fresca
297,30,8,Acqua fresca
298,30,9,Fresh Water
299,30,11,おいしいみず
300,30,12,美味之水
301,31,1,サイコソーダ
302,31,3,미네랄사이다
303,31,4,勁爽汽水
304,31,5,Soda Cool
305,31,6,Sprudel
306,31,7,Refresco
307,31,8,Gassosa
308,31,9,Soda Pop
309,31,11,サイコソーダ
310,31,12,劲爽汽水
311,32,1,ミックスオレ
312,32,3,후르츠밀크
313,32,4,果汁牛奶
314,32,5,Limonade
315,32,6,Limonade
316,32,7,Limonada
317,32,8,Lemonsucco
318,32,9,Lemonade
319,32,11,ミックスオレ
320,32,12,果汁牛奶
321,33,1,モーモーミルク
322,33,3,튼튼밀크
323,33,4,哞哞鮮奶
324,33,5,Lait Meumeu
325,33,6,Kuhmuh-Milch
326,33,7,Leche Mu-mu
327,33,8,Latte Mumu
328,33,9,Moomoo Milk
329,33,11,モーモーミルク
330,33,12,哞哞鲜奶
331,34,1,ちからのこな
332,34,3,힘의가루
333,34,4,元氣粉
334,34,5,Poudrénergie
335,34,6,Energiestaub
336,34,7,Polvo Energía
337,34,8,Polvenergia
338,34,9,Energy Powder
339,34,11,ちからのこな
340,34,12,元气粉
341,35,1,ちからのねっこ
342,35,3,힘의뿌리
343,35,4,元氣根
344,35,5,Racinénergie
345,35,6,Kraftwurzel
346,35,7,Raíz Energía
347,35,8,Radicenergia
348,35,9,Energy Root
349,35,11,ちからのねっこ
350,35,12,元气根
351,36,1,ばんのうごな
352,36,3,만능가루
353,36,4,萬能粉
354,36,5,Poudre Soin
355,36,6,Heilpuder
356,36,7,Polvo Curación
357,36,8,Polvocura
358,36,9,Heal Powder
359,36,11,ばんのうごな
360,36,12,万能粉
361,37,1,ふっかつそう
362,37,3,부활초
363,37,4,復活草
364,37,5,Herbe Rappel
365,37,6,Vitalkraut
366,37,7,Hierba Revivir
367,37,8,Vitalerba
368,37,9,Revival Herb
369,37,11,ふっかつそう
370,37,12,复活草
371,38,1,ピーピーエイド
372,38,3,PP에이드
373,38,4,ＰＰ單項小補劑
374,38,5,Huile
375,38,6,Äther
376,38,7,Éter
377,38,8,Etere
378,38,9,Ether
379,38,11,ピーピーエイド
380,38,12,ＰＰ单项小补剂
381,39,1,ピーピーリカバー
382,39,3,PP회복
383,39,4,ＰＰ單項全補劑
384,39,5,Huile Max
385,39,6,Top-Äther
386,39,7,Éter Máximo
387,39,8,Etere Max
388,39,9,Max Ether
389,39,11,ピーピーリカバー
390,39,12,ＰＰ单项全补剂
391,40,1,ピーピーエイダー
392,40,3,PP에이더
393,40,4,ＰＰ多項小補劑
394,40,5,Élixir
395,40,6,Elixier
396,40,7,Elixir
397,40,8,Elisir
398,40,9,Elixir
399,40,11,ピーピーエイダー
400,40,12,ＰＰ多项小补剂
401,41,1,ピーピーマックス
402,41,3,PP맥스
403,41,4,ＰＰ多項全補劑
404,41,5,Élixir Max
405,41,6,Top-Elixier
406,41,7,Elixir Máximo
407,41,8,Elisir Max
408,41,9,Max Elixir
409,41,11,ピーピーマックス
410,41,12,ＰＰ多项全补剂
411,42,1,フエンせんべい
412,42,3,용암전병
413,42,4,釜炎仙貝
414,42,5,Lava Cookie
415,42,6,Lavakeks
416,42,7,Galleta Lava
417,42,8,Lavottino
418,42,9,Lava Cookie
419,42,11,フエンせんべい
420,42,12,釜炎仙贝
421,43,1,きのみジュース
422,43,3,나무열매쥬스
423,43,4,樹果汁
424,43,5,Jus de Baie
425,43,6,Beerensaft
426,43,7,Zumo de Baya
427,43,8,Succodibacca
428,43,9,Berry Juice
429,43,11,きのみジュース
430,43,12,树果汁
431,44,1,せいなるはい
432,44,3,성스러운분말
433,44,4,聖灰
434,44,5,Cendre Sacrée
435,44,6,Zauberasche
436,44,7,Ceniza Sagrada
437,44,8,Ceneremagica
438,44,9,Sacred Ash
439,44,11,せいなるはい
440,44,12,圣灰
441,45,1,マックスアップ
442,45,3,맥스업
443,45,4,ＨＰ增強劑
444,45,5,PV Plus
445,45,6,KP-Plus
446,45,7,Más PS
447,45,8,PS-Su
448,45,9,HP Up
449,45,11,マックスアップ
450,45,12,ＨＰ增强剂
451,46,1,タウリン
452,46,3,타우린
453,46,4,攻擊增強劑
454,46,5,Protéine
455,46,6,Protein
456,46,7,Proteína
457,46,8,Proteina
458,46,9,Protein
459,46,11,タウリン
460,46,12,攻击增强剂
461,47,1,ブロムヘキシン
462,47,3,사포닌
463,47,4,防禦增強劑
464,47,5,Fer
465,47,6,Eisen
466,47,7,Hierro
467,47,8,Ferro
468,47,9,Iron
469,47,11,ブロムヘキシン
470,47,12,防御增强剂
471,48,1,インドメタシン
472,48,3,알칼로이드
473,48,4,速度增強劑
474,48,5,Carbone
475,48,6,Carbon
476,48,7,Carburante
477,48,8,Carburante
478,48,9,Carbos
479,48,11,インドメタシン
480,48,12,速度增强剂
481,49,1,リゾチウム
482,49,3,리보플라빈
483,49,4,特攻增強劑
484,49,5,Calcium
485,49,6,Kalzium
486,49,7,Calcio
487,49,8,Calcio
488,49,9,Calcium
489,49,11,リゾチウム
490,49,12,特攻增强剂
491,50,1,ふしぎなアメ
492,50,3,이상한사탕
493,50,4,神奇糖果
494,50,5,Super Bonbon
495,50,6,Sonderbonbon
496,50,7,Caramelo Raro
497,50,8,Caramella rara
498,50,9,Rare Candy
499,50,11,ふしぎなアメ
500,50,12,神奇糖果
501,51,1,ポイントアップ
502,51,3,포인트업
503,51,4,ＰＰ提升劑
504,51,5,PP Plus
505,51,6,AP-Plus
506,51,7,Más PP
507,51,8,PP-Su
508,51,9,PP Up
509,51,11,ポイントアップ
510,51,12,ＰＰ提升剂
511,52,1,キトサン
512,52,3,키토산
513,52,4,特防增強劑
514,52,5,Zinc
515,52,6,Zink
516,52,7,Zinc
517,52,8,Zinco
518,52,9,Zinc
519,52,11,キトサン
520,52,12,特防增强剂
521,53,1,ポイントマックス
522,53,3,포인트맥스
523,53,4,ＰＰ極限提升劑
524,53,5,PP Max
525,53,6,AP-Top
526,53,7,PP Máximos
527,53,8,PP-Max
528,53,9,PP Max
529,53,11,ポイントマックス
530,53,12,ＰＰ极限提升剂
531,54,1,もりのヨウカン
532,54,3,숲의양갱
533,54,4,森之羊羹
534,54,5,Vieux Gâteau
535,54,6,Spezialität
536,54,7,Barrita Plus
537,54,8,Dolce Gateau
538,54,9,Old Gateau
539,54,11,もりのヨウカン
540,54,12,森之羊羹
541,55,1,エフェクトガード
542,55,3,이펙트가드
543,55,4,能力防守
544,55,5,Garde-Stats
545,55,6,Megablock
546,55,7,Protección X
547,55,8,Superguardia
548,55,9,Guard Spec.
549,55,11,エフェクトガード
550,55,12,能力防守
551,56,1,クリティカット
552,56,3,크리티컬커터
553,56,4,要害攻擊
554,56,5,Muscle +
555,56,6,Angriffplus
556,56,7,Crítico X
557,56,8,Supercolpo
558,56,9,Dire Hit
559,56,11,クリティカット
560,56,12,要害攻击
561,57,1,プラスパワー
562,57,3,플러스파워
563,57,4,力量強化
564,57,5,Attaque +
565,57,6,X-Angriff
566,57,7,Ataque X
567,57,8,Attacco X
568,57,9,X Attack
569,57,11,プラスパワー
570,57,12,力量强化
571,58,1,ディフェンダー
572,58,3,디펜드업
573,58,4,防禦強化
574,58,5,Défense +
575,58,6,X-Verteidigung
576,58,7,Defensa X
577,58,8,Difesa X
578,58,9,X Defense
579,58,11,ディフェンダー
580,58,12,防御强化
581,59,1,スピーダー
582,59,3,스피드업
583,59,4,速度強化
584,59,5,Vitesse +
585,59,6,X-Initiative
586,59,7,Velocidad X
587,59,8,Velocità X
588,59,9,X Speed
589,59,11,スピーダー
590,59,12,速度强化
591,60,1,ヨクアタール
592,60,3,잘-맞히기
593,60,4,命中強化
594,60,5,Précision +
595,60,6,X-Genauigkeit
596,60,7,Precisión X
597,60,8,Precisione X
598,60,9,X Accuracy
599,60,11,ヨクアタール
600,60,12,命中强化
601,61,1,スペシャルアップ
602,61,3,스페셜업
603,61,4,特攻強化
604,61,5,Atq. Spé. +
605,61,6,X-Sp.-Ang.
606,61,7,At. Especial X
607,61,8,Att. Speciale X
608,61,9,X Sp. Atk
609,61,11,スペシャルアップ
610,61,12,特攻强化
611,62,1,スペシャルガード
612,62,3,스페셜가드
613,62,4,特防強化
614,62,5,Déf. Spé. +
615,62,6,X-Sp.-Vert.
616,62,7,Def. Especial X
617,62,8,Dif. Speciale X
618,62,9,X Sp. Def
619,62,11,スペシャルガード
620,62,12,特防强化
621,63,1,ピッピにんぎょう
622,63,3,삐삐인형
623,63,4,皮皮玩偶
624,63,5,Poké Poupée
625,63,6,Poképuppe
626,63,7,Poké Muñeco
627,63,8,Poké Bambola
628,63,9,Poké Doll
629,63,11,ピッピにんぎょう
630,63,12,皮皮玩偶
631,64,1,エネコのシッポ
632,64,3,에나비꼬리
633,64,4,向尾喵的尾巴
634,64,5,Queue Skitty
635,64,6,Eneco-Rute
636,64,7,Cola Skitty
637,64,8,Coda Skitty
638,64,9,Fluffy Tail
639,64,11,エネコのシッポ
640,64,12,向尾喵的尾巴
641,65,1,あおいビードロ
642,65,3,파랑비드로
643,65,4,藍色玻璃哨
644,65,5,Flûte Bleue
645,65,6,Blaue Flöte
646,65,7,Flauta Azul
647,65,8,Flauto Blu
648,65,9,Blue Flute
649,65,11,あおいビードロ
650,65,12,蓝色玻璃哨
651,66,1,きいろビードロ
652,66,3,노랑비드로
653,66,4,黃色玻璃哨
654,66,5,Flûte Jaune
655,66,6,Gelbe Flöte
656,66,7,Flauta Amarilla
657,66,8,Flauto Giallo
658,66,9,Yellow Flute
659,66,11,きいろビードロ
660,66,12,黄色玻璃哨
661,67,1,あかいビードロ
662,67,3,빨강비드로
663,67,4,紅色玻璃哨
664,67,5,Flûte Rouge
665,67,6,Rote Flöte
666,67,7,Flauta Roja
667,67,8,Flauto Rosso
668,67,9,Red Flute
669,67,11,あかいビードロ
670,67,12,红色玻璃哨
671,68,1,くろいビードロ
672,68,3,검정비드로
673,68,4,黑色玻璃哨
674,68,5,Flûte Noire
675,68,6,Schwarze Flöte
676,68,7,Flauta Negra
677,68,8,Flauto Nero
678,68,9,Black Flute
679,68,11,くろいビードロ
680,68,12,黑色玻璃哨
681,69,1,しろいビードロ
682,69,3,하양비드로
683,69,4,白色玻璃哨
684,69,5,Flûte Blanche
685,69,6,Weiße Flöte
686,69,7,Flauta Blanca
687,69,8,Flauto Bianco
688,69,9,White Flute
689,69,11,しろいビードロ
690,69,12,白色玻璃哨
691,70,1,あさせのしお
692,70,3,여울소금
693,70,4,淺灘海鹽
694,70,5,Sel Tréfonds
695,70,6,Küstensalz
696,70,7,Sal Cardumen
697,70,8,Sale Ondoso
698,70,9,Shoal Salt
699,70,11,あさせのしお
700,70,12,浅滩海盐
701,71,1,あさせのかいがら
702,71,3,여울조개껍질
703,71,4,淺灘貝殼
704,71,5,CoquilleTréfonds
705,71,6,Küstenschale
706,71,7,Concha Cardumen
707,71,8,Gusciondoso
708,71,9,Shoal Shell
709,71,11,あさせのかいがら
710,71,12,浅滩贝壳
711,72,1,あかいかけら
712,72,3,빨강조각
713,72,4,紅色碎片
714,72,5,Tesson Rouge
715,72,6,Purpurstück
716,72,7,Parte Roja
717,72,8,Coccio Rosso
718,72,9,Red Shard
719,72,11,あかいかけら
720,72,12,红色碎片
721,73,1,あおいかけら
722,73,3,파랑조각
723,73,4,藍色碎片
724,73,5,Tesson Bleu
725,73,6,Indigostück
726,73,7,Parte Azul
727,73,8,Coccio Blu
728,73,9,Blue Shard
729,73,11,あおいかけら
730,73,12,蓝色碎片
731,74,1,きいろいかけら
732,74,3,노랑조각
733,74,4,黃色碎片
734,74,5,Tesson Jaune
735,74,6,Gelbstück
736,74,7,Parte Amarilla
737,74,8,Coccio Giallo
738,74,9,Yellow Shard
739,74,11,きいろいかけら
740,74,12,黄色碎片
741,75,1,みどりのかけら
742,75,3,초록조각
743,75,4,綠色碎片
744,75,5,Tesson Vert
745,75,6,Grünstück
746,75,7,Parte Verde
747,75,8,Coccio Verde
748,75,9,Green Shard
749,75,11,みどりのかけら
750,75,12,绿色碎片
751,76,1,シルバースプレー
752,76,3,실버스프레이
753,76,4,白銀噴霧
754,76,5,Super Repousse
755,76,6,Superschutz
756,76,7,Superrepelente
757,76,8,Superrepellente
758,76,9,Super Repel
759,76,11,シルバースプレー
760,76,12,白银喷雾
761,77,1,ゴールドスプレー
762,77,3,골드스프레이
763,77,4,黃金噴霧
764,77,5,Repousse Max
765,77,6,Top-Schutz
766,77,7,Repelente Máximo
767,77,8,Repellente Max
768,77,9,Max Repel
769,77,11,ゴールドスプレー
770,77,12,黄金喷雾
771,78,1,あなぬけのヒモ
772,78,3,동굴탈출로프
773,78,4,離洞繩
774,78,5,Corde Sortie
775,78,6,Fluchtseil
776,78,7,Cuerda Huida
777,78,8,Fune di fuga
778,78,9,Escape Rope
779,78,11,あなぬけのヒモ
780,78,12,离洞绳
781,79,1,むしよけスプレー
782,79,3,벌레회피스프레이
783,79,4,除蟲噴霧
784,79,5,Repousse
785,79,6,Schutz
786,79,7,Repelente
787,79,8,Repellente
788,79,9,Repel
789,79,11,むしよけスプレー
790,79,12,除虫喷雾
791,80,1,たいようのいし
792,80,3,태양의돌
793,80,4,日之石
794,80,5,Pierre Soleil
795,80,6,Sonnenstein
796,80,7,Piedra Solar
797,80,8,Pietrasolare
798,80,9,Sun Stone
799,80,11,たいようのいし
800,80,12,日之石
801,81,1,つきのいし
802,81,3,달의돌
803,81,4,月之石
804,81,5,Pierre Lune
805,81,6,Mondstein
806,81,7,Piedra Lunar
807,81,8,Pietralunare
808,81,9,Moon Stone
809,81,11,つきのいし
810,81,12,月之石
811,82,1,ほのおのいし
812,82,3,불꽃의돌
813,82,4,火之石
814,82,5,Pierre Feu
815,82,6,Feuerstein
816,82,7,Piedra Fuego
817,82,8,Pietrafocaia
818,82,9,Fire Stone
819,82,11,ほのおのいし
820,82,12,火之石
821,83,1,かみなりのいし
822,83,3,천둥의돌
823,83,4,雷之石
824,83,5,Pierre Foudre
825,83,6,Donnerstein
826,83,7,Piedra Trueno
827,83,8,Pietratuono
828,83,9,Thunder Stone
829,83,11,かみなりのいし
830,83,12,雷之石
831,84,1,みずのいし
832,84,3,물의돌
833,84,4,水之石
834,84,5,Pierre Eau
835,84,6,Wasserstein
836,84,7,Piedra Agua
837,84,8,Pietraidrica
838,84,9,Water Stone
839,84,11,みずのいし
840,84,12,水之石
841,85,1,リーフのいし
842,85,3,리프의돌
843,85,4,葉之石
844,85,5,Pierre Plante
845,85,6,Blattstein
846,85,7,Piedra Hoja
847,85,8,Pietrafoglia
848,85,9,Leaf Stone
849,85,11,リーフのいし
850,85,12,叶之石
851,86,1,ちいさなキノコ
852,86,3,작은버섯
853,86,4,小蘑菇
854,86,5,Petit Champi
855,86,6,Minipilz
856,86,7,Miniseta
857,86,8,Minifungo
858,86,9,Tiny Mushroom
859,86,11,ちいさなキノコ
860,86,12,小蘑菇
861,87,1,おおきなキノコ
862,87,3,큰버섯
863,87,4,大蘑菇
864,87,5,Gros Champi
865,87,6,Riesenpilz
866,87,7,Seta Grande
867,87,8,Grande Fungo
868,87,9,Big Mushroom
869,87,11,おおきなキノコ
870,87,12,大蘑菇
871,88,1,しんじゅ
872,88,3,진주
873,88,4,珍珠
874,88,5,Perle
875,88,6,Perle
876,88,7,Perla
877,88,8,Perla
878,88,9,Pearl
879,88,11,しんじゅ
880,88,12,珍珠
881,89,1,おおきなしんじゅ
882,89,3,큰진주
883,89,4,大珍珠
884,89,5,Grande Perle
885,89,6,Riesenperle
886,89,7,Perla Grande
887,89,8,Grande Perla
888,89,9,Big Pearl
889,89,11,おおきなしんじゅ
890,89,12,大珍珠
891,90,1,ほしのすな
892,90,3,별의모래
893,90,4,星星沙子
894,90,5,Poussière Étoile
895,90,6,Sternenstaub
896,90,7,Polvo Estelar
897,90,8,Polvostella
898,90,9,Stardust
899,90,11,ほしのすな
900,90,12,星星沙子
901,91,1,ほしのかけら
902,91,3,별의조각
903,91,4,星星碎片
904,91,5,Morceau d’Étoile
905,91,6,Sternenstück
906,91,7,Trozo Estrella
907,91,8,Pezzo Stella
908,91,9,Star Piece
909,91,11,ほしのかけら
910,91,12,星星碎片
911,92,1,きんのたま
912,92,3,금구슬
913,92,4,金珠
914,92,5,Pépite
915,92,6,Nugget
916,92,7,Pepita
917,92,8,Pepita
918,92,9,Nugget
919,92,11,きんのたま
920,92,12,金珠
921,93,1,ハートのウロコ
922,93,3,하트비늘
923,93,4,心之鱗片
924,93,5,Écaille Cœur
925,93,6,Herzschuppe
926,93,7,Escama Corazón
927,93,8,Squama Cuore
928,93,9,Heart Scale
929,93,11,ハートのウロコ
930,93,12,心之鳞片
931,94,1,あまいミツ
932,94,3,달콤한꿀
933,94,4,甜甜蜜
934,94,5,Miel
935,94,6,Honig
936,94,7,Miel
937,94,8,Miele
938,94,9,Honey
939,94,11,あまいミツ
940,94,12,甜甜蜜
941,95,1,すくすくこやし
942,95,3,무럭무럭비료
943,95,4,速速肥
944,95,5,Fertipousse
945,95,6,Wachsmulch
946,95,7,Abono Rápido
947,95,8,Fertilrapido
948,95,9,Growth Mulch
949,95,11,すくすくこやし
950,95,12,速速肥
951,96,1,じめじめこやし
952,96,3,축축이비료
953,96,4,濕濕肥
954,96,5,Fertihumide
955,96,6,Feuchtmulch
956,96,7,Abono Lento
957,96,8,Fertilidro
958,96,9,Damp Mulch
959,96,11,じめじめこやし
960,96,12,湿湿肥
961,97,1,ながながこやし
962,97,3,오래오래비료
963,97,4,久久肥
964,97,5,Fertistable
965,97,6,Stabilmulch
966,97,7,Abono Fijador
967,97,8,Fertilsaldo
968,97,9,Stable Mulch
969,97,11,ながながこやし
970,97,12,久久肥
971,98,1,ねばねばこやし
972,98,3,끈적끈적비료
973,98,4,黏黏肥
974,98,5,Fertiglu
975,98,6,Neumulch
976,98,7,Abono Brote
977,98,8,Fertilcolla
978,98,9,Gooey Mulch
979,98,11,ねばねばこやし
980,98,12,粘粘肥
981,99,1,ねっこのカセキ
982,99,3,뿌리화석
983,99,4,根狀化石
984,99,5,Fossile Racine
985,99,6,Wurzelfossil
986,99,7,Fósil Raíz
987,99,8,Radifossile
988,99,9,Root Fossil
989,99,11,ねっこのカセキ
990,99,12,根状化石
991,100,1,ツメのカセキ
992,100,3,발톱화석
993,100,4,爪子化石
994,100,5,Fossile Griffe
995,100,6,Klauenfossil
996,100,7,Fósil Garra
997,100,8,Fossilunghia
998,100,9,Claw Fossil
999,100,11,ツメのカセキ
1000,100,12,爪子化石
1001,101,1,かいのカセキ
1002,101,3,조개화석
1003,101,4,貝殼化石
1004,101,5,Nautile
1005,101,6,Helixfossil
1006,101,7,Fósil Hélix
1007,101,8,Helixfossile
1008,101,9,Helix Fossil
1009,101,11,かいのカセキ
1010,101,12,贝壳化石
1011,102,1,こうらのカセキ
1012,102,3,껍질화석
1013,102,4,甲殼化石
1014,102,5,Fossile Dôme
1015,102,6,Domfossil
1016,102,7,Fósil Domo
1017,102,8,Domofossile
1018,102,9,Dome Fossil
1019,102,11,こうらのカセキ
1020,102,12,甲壳化石
1021,103,1,ひみつのコハク
1022,103,3,비밀의호박
1023,103,4,秘密琥珀
1024,103,5,Vieil Ambre
1025,103,6,Altbernstein
1026,103,7,Ámbar Viejo
1027,103,8,Ambra antica
1028,103,9,Old Amber
1029,103,11,ひみつのコハク
1030,103,12,秘密琥珀
1031,104,1,たてのカセキ
1032,104,3,방패의화석
1033,104,4,盾甲化石
1034,104,5,Fossile Armure
1035,104,6,Panzerfossil
1036,104,7,Fósil Coraza
1037,104,8,Fossilscudo
1038,104,9,Armor Fossil
1039,104,11,たてのカセキ
1040,104,12,盾甲化石
1041,105,1,ずがいのカセキ
1042,105,3,두개의화석
1043,105,4,頭蓋化石
1044,105,5,Fossile Crâne
1045,105,6,Kopffossil
1046,105,7,Fósil Cráneo
1047,105,8,Fossilcranio
1048,105,9,Skull Fossil
1049,105,11,ずがいのカセキ
1050,105,12,头盖化石
1051,106,1,きちょうなホネ
1052,106,3,귀중한뼈
1053,106,4,貴重骨頭
1054,106,5,Os Rare
1055,106,6,Steinknochen
1056,106,7,Hueso Raro
1057,106,8,Osso Raro
1058,106,9,Rare Bone
1059,106,11,きちょうなホネ
1060,106,12,贵重骨头
1061,107,1,ひかりのいし
1062,107,3,빛의돌
1063,107,4,光之石
