Id,MoveId,LocalLanguageId,Name
108,11,9,Vise Grip
109,11,11,はさむ
110,11,12,夹住
111,12,1,ハサミギロチン
112,12,3,가위자르기
113,12,4,斷頭鉗
114,12,5,Guillotine
115,12,6,Guillotine
116,12,7,Guillotina
117,12,8,Ghigliottina
118,12,9,Guillotine
119,12,11,ハサミギロチン
120,12,12,断头钳
121,13,1,かまいたち
122,13,3,칼바람
123,13,4,旋風刀
124,13,5,Coupe-Vent
125,13,6,Klingensturm
126,13,7,Viento Cortante
127,13,8,Ventagliente
128,13,9,Razor Wind
129,13,11,かまいたち
130,13,12,旋风刀
131,14,1,つるぎのまい
132,14,3,칼춤
133,14,4,劍舞
134,14,5,Danse Lames
135,14,6,Schwerttanz
136,14,7,Danza Espada
137,14,8,Danzaspada
138,14,9,Swords Dance
139,14,11,つるぎのまい
140,14,12,剑舞
141,15,1,いあいぎり
142,15,3,풀베기
143,15,4,居合斬
144,15,5,Coupe
145,15,6,Zerschneider
146,15,7,Corte
147,15,8,Taglio
148,15,9,Cut
149,15,11,いあいぎり
150,15,12,居合斩
151,16,1,かぜおこし
152,16,3,바람일으키기
153,16,4,起風
154,16,5,Tornade
155,16,6,Windstoß
156,16,7,Tornado
157,16,8,Raffica
158,16,9,Gust
159,16,11,かぜおこし
160,16,12,起风
161,17,1,つばさでうつ
162,17,3,날개치기
163,17,4,翅膀攻擊
164,17,5,Cru-Ailes
165,17,6,Flügelschlag
166,17,7,Ataque Ala
167,17,8,Attacco d’Ala
168,17,9,Wing Attack
169,17,11,つばさでうつ
170,17,12,翅膀攻击
171,18,1,ふきとばし
172,18,3,날려버리기
173,18,4,吹飛
174,18,5,Cyclone
175,18,6,Wirbelwind
176,18,7,Remolino
177,18,8,Turbine
178,18,9,Whirlwind
179,18,11,ふきとばし
180,18,12,吹飞
181,19,1,そらをとぶ
182,19,3,공중날기
183,19,4,飛翔
184,19,5,Vol
185,19,6,Fliegen
186,19,7,Vuelo
187,19,8,Volo
188,19,9,Fly
189,19,11,そらをとぶ
190,19,12,飞翔
191,20,1,しめつける
192,20,3,조이기
193,20,4,綁緊
194,20,5,Étreinte
195,20,6,Klammergriff
196,20,7,Atadura
197,20,8,Legatutto
198,20,9,Bind
199,20,11,しめつける
200,20,12,绑紧
201,21,1,たたきつける
202,21,3,힘껏치기
203,21,4,摔打
204,21,5,Souplesse
205,21,6,Slam
206,21,7,Atizar
207,21,8,Schianto
208,21,9,Slam
209,21,11,たたきつける
210,21,12,摔打
211,22,1,つるのムチ
212,22,3,덩굴채찍
213,22,4,藤鞭
214,22,5,Fouet Lianes
215,22,6,Rankenhieb
216,22,7,Látigo Cepa
217,22,8,Frustata
218,22,9,Vine Whip
219,22,11,つるのムチ
220,22,12,藤鞭
221,23,1,ふみつけ
222,23,3,짓밟기
223,23,4,踩踏
224,23,5,Écrasement
225,23,6,Stampfer
226,23,7,Pisotón
227,23,8,Pestone
228,23,9,Stomp
229,23,11,ふみつけ
230,23,12,踩踏
231,24,1,にどげり
232,24,3,두번치기
233,24,4,二連踢
234,24,5,Double Pied
235,24,6,Doppelkick
236,24,7,Doble Patada
237,24,8,Doppiocalcio
238,24,9,Double Kick
239,24,11,にどげり
240,24,12,二连踢
241,25,1,メガトンキック
242,25,3,메가톤킥
243,25,4,百萬噸重踢
244,25,5,Ultimawashi
245,25,6,Megakick
246,25,7,Megapatada
247,25,8,Megacalcio
248,25,9,Mega Kick
249,25,11,メガトンキック
250,25,12,百万吨重踢
251,26,1,とびげり
252,26,3,점프킥
253,26,4,飛踢
254,26,5,Pied Sauté
255,26,6,Sprungkick
256,26,7,Patada Salto
257,26,8,Calciosalto
258,26,9,Jump Kick
259,26,11,とびげり
260,26,12,飞踢
261,27,1,まわしげり
262,27,3,돌려차기
263,27,4,迴旋踢
264,27,5,Mawashi Geri
265,27,6,Fegekick
266,27,7,Patada Giro
267,27,8,Calciorullo
268,27,9,Rolling Kick
269,27,11,まわしげり
270,27,12,回旋踢
271,28,1,すなかけ
272,28,3,모래뿌리기
273,28,4,潑沙
274,28,5,Jet de Sable
275,28,6,Sandwirbel
276,28,7,Ataque Arena
277,28,8,Turbosabbia
278,28,9,Sand Attack
279,28,11,すなかけ
280,28,12,泼沙
281,29,1,ずつき
282,29,3,박치기
283,29,4,頭錘
284,29,5,Coup d’Boule
285,29,6,Kopfnuss
286,29,7,Golpe Cabeza
287,29,8,Bottintesta
288,29,9,Headbutt
289,29,11,ずつき
290,29,12,头锤
291,30,1,つのでつく
292,30,3,뿔찌르기
293,30,4,角撞
294,30,5,Koud’Korne
295,30,6,Hornattacke
296,30,7,Cornada
297,30,8,Incornata
298,30,9,Horn Attack
299,30,11,つのでつく
300,30,12,角撞
301,31,1,みだれづき
302,31,3,마구찌르기
303,31,4,亂擊
304,31,5,Furie
305,31,6,Furienschlag
306,31,7,Ataque Furia
307,31,8,Furia
308,31,9,Fury Attack
309,31,11,みだれづき
310,31,12,乱击
311,32,1,つのドリル
312,32,3,뿔드릴
313,32,4,角鑽
314,32,5,Empal’Korne
315,32,6,Hornbohrer
316,32,7,Perforador
317,32,8,Perforcorno
318,32,9,Horn Drill
319,32,11,つのドリル
320,32,12,角钻
321,33,1,たいあたり
322,33,3,몸통박치기
323,33,4,撞擊
324,33,5,Charge
325,33,6,Tackle
326,33,7,Placaje
327,33,8,Azione
328,33,9,Tackle
329,33,11,たいあたり
330,33,12,撞击
331,34,1,のしかかり
332,34,3,누르기
333,34,4,泰山壓頂
334,34,5,Plaquage
335,34,6,Bodyslam
336,34,7,Golpe Cuerpo
337,34,8,Corposcontro
338,34,9,Body Slam
339,34,11,のしかかり
340,34,12,泰山压顶
341,35,1,まきつく
342,35,3,김밥말이
343,35,4,緊束
344,35,5,Ligotage
345,35,6,Wickel
346,35,7,Constricción
347,35,8,Avvolgibotta
348,35,9,Wrap
349,35,11,まきつく
350,35,12,紧束
351,36,1,とっしん
352,36,3,돌진
353,36,4,猛撞
354,36,5,Bélier
355,36,6,Bodycheck
356,36,7,Derribo
357,36,8,Riduttore
358,36,9,Take Down
359,36,11,とっしん
360,36,12,猛撞
361,37,1,あばれる
362,37,3,난동부리기
363,37,4,大鬧一番
364,37,5,Mania
365,37,6,Fuchtler
366,37,7,Golpe
367,37,8,Colpo
368,37,9,Thrash
369,37,11,あばれる
370,37,12,大闹一番
371,38,1,すてみタックル
372,38,3,이판사판태클
373,38,4,捨身衝撞
374,38,5,Damoclès
375,38,6,Risikotackle
376,38,7,Doble Filo
377,38,8,Sdoppiatore
378,38,9,Double-Edge
379,38,11,すてみタックル
380,38,12,舍身冲撞
381,39,1,しっぽをふる
382,39,3,꼬리흔들기
383,39,4,搖尾巴
384,39,5,Mimi-Queue
385,39,6,Rutenschlag
386,39,7,Látigo
387,39,8,Colpocoda
388,39,9,Tail Whip
389,39,11,しっぽをふる
390,39,12,摇尾巴
391,40,1,どくばり
392,40,3,독침
393,40,4,毒針
394,40,5,Dard-Venin
395,40,6,Giftstachel
396,40,7,Picotazo Veneno
397,40,8,Velenospina
398,40,9,Poison Sting
399,40,11,どくばり
400,40,12,毒针
401,41,1,ダブルニードル
402,41,3,더블니들
403,41,4,雙針
404,41,5,Double Dard
405,41,6,Duonadel
406,41,7,Doble Ataque
407,41,8,Doppio Ago
408,41,9,Twineedle
409,41,11,ダブルニードル
410,41,12,双针
411,42,1,ミサイルばり
412,42,3,바늘미사일
413,42,4,飛彈針
414,42,5,Dard-Nuée
415,42,6,Nadelrakete
416,42,7,Pin Misil
417,42,8,Missilspillo
418,42,9,Pin Missile
419,42,11,ミサイルばり
420,42,12,飞弹针
421,43,1,にらみつける
422,43,3,째려보기
423,43,4,瞪眼
424,43,5,Groz’Yeux
425,43,6,Silberblick
426,43,7,Malicioso
427,43,8,Fulmisguardo
428,43,9,Leer
429,43,11,にらみつける
430,43,12,瞪眼
431,44,1,かみつく
432,44,3,물기
433,44,4,咬住
434,44,5,Morsure
435,44,6,Biss
436,44,7,Mordisco
437,44,8,Morso
438,44,9,Bite
439,44,11,かみつく
440,44,12,咬住
441,45,1,なきごえ
442,45,3,울음소리
443,45,4,叫聲
444,45,5,Rugissement
445,45,6,Heuler
446,45,7,Gruñido
447,45,8,Ruggito
448,45,9,Growl
449,45,11,なきごえ
450,45,12,叫声
451,46,1,ほえる
452,46,3,울부짖기
453,46,4,吼叫
454,46,5,Hurlement
455,46,6,Brüller
456,46,7,Rugido
457,46,8,Boato
458,46,9,Roar
459,46,11,ほえる
460,46,12,吼叫
461,47,1,うたう
462,47,3,노래하기
463,47,4,唱歌
464,47,5,Berceuse
465,47,6,Gesang
466,47,7,Canto
467,47,8,Canto
468,47,9,Sing
469,47,11,うたう
470,47,12,唱歌
471,48,1,ちょうおんぱ
472,48,3,초음파
473,48,4,超音波
474,48,5,Ultrason
475,48,6,Superschall
476,48,7,Supersónico
477,48,8,Supersuono
478,48,9,Supersonic
479,48,11,ちょうおんぱ
480,48,12,超音波
481,49,1,ソニックブーム
482,49,3,소닉붐
483,49,4,音爆
484,49,5,Sonic Boom
485,49,6,Ultraschall
486,49,7,Bomba Sónica
487,49,8,Sonicboom
488,49,9,Sonic Boom
489,49,11,ソニックブーム
490,49,12,音爆
491,50,1,かなしばり
492,50,3,사슬묶기
493,50,4,定身法
494,50,5,Entrave
495,50,6,Aussetzer
496,50,7,Anulación
497,50,8,Inibitore
498,50,9,Disable
499,50,11,かなしばり
500,50,12,定身法
501,51,1,ようかいえき
502,51,3,용해액
503,51,4,溶解液
504,51,5,Acide
505,51,6,Säure
506,51,7,Ácido
507,51,8,Acido
508,51,9,Acid
509,51,11,ようかいえき
510,51,12,溶解液
511,52,1,ひのこ
512,52,3,불꽃세례
513,52,4,火花
514,52,5,Flammèche
515,52,6,Glut
516,52,7,Ascuas
517,52,8,Braciere
518,52,9,Ember
519,52,11,ひのこ
520,52,12,火花
521,53,1,かえんほうしゃ
522,53,3,화염방사
523,53,4,噴射火焰
524,53,5,Lance-Flammes
525,53,6,Flammenwurf
526,53,7,Lanzallamas
527,53,8,Lanciafiamme
528,53,9,Flamethrower
529,53,11,かえんほうしゃ
530,53,12,喷射火焰
531,54,1,しろいきり
532,54,3,흰안개
533,54,4,白霧
534,54,5,Brume
535,54,6,Weißnebel
536,54,7,Neblina
537,54,8,Nebbia
538,54,9,Mist
539,54,11,しろいきり
540,54,12,白雾
541,55,1,みずでっぽう
542,55,3,물대포
543,55,4,水槍
544,55,5,Pistolet à O
545,55,6,Aquaknarre
546,55,7,Pistola Agua
547,55,8,Pistolacqua
548,55,9,Water Gun
549,55,11,みずでっぽう
550,55,12,水枪
551,56,1,ハイドロポンプ
552,56,3,하이드로펌프
553,56,4,水炮
554,56,5,Hydrocanon
555,56,6,Hydropumpe
556,56,7,Hidrobomba
557,56,8,Idropompa
558,56,9,Hydro Pump
559,56,11,ハイドロポンプ
560,56,12,水炮
561,57,1,なみのり
562,57,3,파도타기
563,57,4,衝浪
564,57,5,Surf
565,57,6,Surfer
566,57,7,Surf
567,57,8,Surf
568,57,9,Surf
569,57,11,なみのり
570,57,12,冲浪
571,58,1,れいとうビーム
572,58,3,냉동빔
573,58,4,冰凍光束
574,58,5,Laser Glace
575,58,6,Eisstrahl
576,58,7,Rayo Hielo
577,58,8,Geloraggio
578,58,9,Ice Beam
579,58,11,れいとうビーム
580,58,12,冰冻光束
581,59,1,ふぶき
582,59,3,눈보라
583,59,4,暴風雪
584,59,5,Blizzard
585,59,6,Blizzard
586,59,7,Ventisca
587,59,8,Bora
588,59,9,Blizzard
589,59,11,ふぶき
590,59,12,暴风雪
591,60,1,サイケこうせん
592,60,3,환상빔
593,60,4,幻象光線
594,60,5,Rafale Psy
595,60,6,Psystrahl
596,60,7,Psicorrayo
597,60,8,Psicoraggio
598,60,9,Psybeam
599,60,11,サイケこうせん
600,60,12,幻象光线
601,61,1,バブルこうせん
602,61,3,거품광선
603,61,4,泡沫光線
604,61,5,Bulles d’O
605,61,6,Blubbstrahl
606,61,7,Rayo Burbuja
607,61,8,Bollaraggio
608,61,9,Bubble Beam
609,61,11,バブルこうせん
610,61,12,泡沫光线
611,62,1,オーロラビーム
612,62,3,오로라빔
613,62,4,極光束
614,62,5,Onde Boréale
615,62,6,Aurorastrahl
616,62,7,Rayo Aurora
617,62,8,Raggiaurora
618,62,9,Aurora Beam
619,62,11,オーロラビーム
620,62,12,极光束
621,63,1,はかいこうせん
622,63,3,파괴광선
623,63,4,破壞光線
624,63,5,Ultralaser
625,63,6,Hyperstrahl
626,63,7,Hiperrayo
627,63,8,Iper Raggio
628,63,9,Hyper Beam
629,63,11,はかいこうせん
630,63,12,破坏光线
631,64,1,つつく
632,64,3,쪼기
633,64,4,啄
634,64,5,Picpic
635,64,6,Pikser
636,64,7,Picotazo
637,64,8,Beccata
638,64,9,Peck
639,64,11,つつく
640,64,12,啄
641,65,1,ドリルくちばし
642,65,3,회전부리
643,65,4,啄鑽
644,65,5,Bec Vrille
645,65,6,Bohrschnabel
646,65,7,Pico Taladro
647,65,8,Perforbecco
648,65,9,Drill Peck
649,65,11,ドリルくちばし
650,65,12,啄钻
651,66,1,じごくぐるま
652,66,3,지옥의바퀴
653,66,4,地獄翻滾
654,66,5,Sacrifice
655,66,6,Überroller
656,66,7,Sumisión
657,66,8,Sottomissione
658,66,9,Submission
659,66,11,じごくぐるま
660,66,12,地狱翻滚
661,67,1,けたぐり
662,67,3,안다리걸기
663,67,4,踢倒
664,67,5,Balayage
665,67,6,Fußkick
666,67,7,Patada Baja
667,67,8,Colpo Basso
668,67,9,Low Kick
669,67,11,けたぐり
670,67,12,踢倒
671,68,1,カウンター
672,68,3,카운터
673,68,4,雙倍奉還
674,68,5,Riposte
675,68,6,Konter
676,68,7,Contraataque
677,68,8,Contrattacco
678,68,9,Counter
679,68,11,カウンター
680,68,12,双倍奉还
681,69,1,ちきゅうなげ
682,69,3,지구던지기
683,69,4,地球上投
684,69,5,Frappe Atlas
685,69,6,Geowurf
686,69,7,Sísmico
687,69,8,Movim. Sismico
688,69,9,Seismic Toss
689,69,11,ちきゅうなげ
690,69,12,地球上投
691,70,1,かいりき
692,70,3,괴력
693,70,4,怪力
694,70,5,Force
695,70,6,Stärke
696,70,7,Fuerza
697,70,8,Forza
698,70,9,Strength
699,70,11,かいりき
700,70,12,怪力
701,71,1,すいとる
702,71,3,흡수
703,71,4,吸取
704,71,5,Vole-Vie
705,71,6,Absorber
706,71,7,Absorber
707,71,8,Assorbimento
708,71,9,Absorb
709,71,11,すいとる
710,71,12,吸取
711,72,1,メガドレイン
712,72,3,메가드레인
713,72,4,超級吸取
714,72,5,Méga-Sangsue
715,72,6,Megasauger
716,72,7,Megaagotar
717,72,8,Megassorbimento
718,72,9,Mega Drain
719,72,11,メガドレイン
720,72,12,超级吸取
721,73,1,やどりぎのタネ
722,73,3,씨뿌리기
723,73,4,寄生種子
724,73,5,Vampigraine
725,73,6,Egelsamen
726,73,7,Drenadoras
727,73,8,Parassiseme
728,73,9,Leech Seed
729,73,11,やどりぎのタネ
730,73,12,寄生种子
731,74,1,せいちょう
732,74,3,성장
733,74,4,生長
734,74,5,Croissance
735,74,6,Wachstum
736,74,7,Desarrollo
737,74,8,Crescita
738,74,9,Growth
739,74,11,せいちょう
740,74,12,生长
741,75,1,はっぱカッター
742,75,3,잎날가르기
743,75,4,飛葉快刀
744,75,5,Tranch’Herbe
745,75,6,Rasierblatt
746,75,7,Hoja Afilada
747,75,8,Foglielama
748,75,9,Razor Leaf
749,75,11,はっぱカッター
750,75,12,飞叶快刀
751,76,1,ソーラービーム
752,76,3,솔라빔
753,76,4,日光束
754,76,5,Lance-Soleil
755,76,6,Solarstrahl
756,76,7,Rayo Solar
757,76,8,Solarraggio
758,76,9,Solar Beam
759,76,11,ソーラービーム
760,76,12,日光束
761,77,1,どくのこな
762,77,3,독가루
763,77,4,毒粉
764,77,5,Poudre Toxik
765,77,6,Giftpuder
766,77,7,Polvo Veneno
767,77,8,Velenpolvere
768,77,9,Poison Powder
769,77,11,どくのこな
770,77,12,毒粉
771,78,1,しびれごな
772,78,3,저리가루
773,78,4,麻痺粉
774,78,5,Para-Spore
775,78,6,Stachelspore
776,78,7,Paralizador
777,78,8,Paralizzante
778,78,9,Stun Spore
779,78,11,しびれごな
780,78,12,麻痹粉
781,79,1,ねむりごな
782,79,3,수면가루
783,79,4,催眠粉
784,79,5,Poudre Dodo
785,79,6,Schlafpuder
786,79,7,Somnífero
787,79,8,Sonnifero
788,79,9,Sleep Powder
789,79,11,ねむりごな
790,79,12,催眠粉
791,80,1,はなびらのまい
792,80,3,꽃잎댄스
793,80,4,花瓣舞
794,80,5,Danse Fleurs
795,80,6,Blättertanz
796,80,7,Danza Pétalo
797,80,8,Petalodanza
798,80,9,Petal Dance
799,80,11,はなびらのまい
800,80,12,花瓣舞
801,81,1,いとをはく
802,81,3,실뿜기
803,81,4,吐絲
804,81,5,Sécrétion
805,81,6,Fadenschuss
806,81,7,Disparo Demora
807,81,8,Millebave
808,81,9,String Shot
809,81,11,いとをはく
810,81,12,吐丝
811,82,1,りゅうのいかり
812,82,3,용의분노
813,82,4,龍之怒
814,82,5,Draco-Rage
815,82,6,Drachenwut
816,82,7,Furia Dragón
817,82,8,Ira di Drago
818,82,9,Dragon Rage
819,82,11,りゅうのいかり
820,82,12,龙之怒
821,83,1,ほのおのうず
822,83,3,회오리불꽃
823,83,4,火焰旋渦
824,83,5,Danse Flammes
825,83,6,Feuerwirbel
826,83,7,Giro Fuego
827,83,8,Turbofuoco
828,83,9,Fire Spin
829,83,11,ほのおのうず
830,83,12,火焰旋涡
831,84,1,でんきショック
832,84,3,전기쇼크
833,84,4,電擊
834,84,5,Éclair
835,84,6,Donnerschock
836,84,7,Impactrueno
837,84,8,Tuonoshock
838,84,9,Thunder Shock
839,84,11,でんきショック
840,84,12,电击
841,85,1,１０まんボルト
842,85,3,10만볼트
843,85,4,十萬伏特
844,85,5,Tonnerre
845,85,6,Donnerblitz
846,85,7,Rayo
847,85,8,Fulmine
848,85,9,Thunderbolt
849,85,11,１０まんボルト
850,85,12,十万伏特
851,86,1,でんじは
852,86,3,전기자석파
853,86,4,電磁波
854,86,5,Cage Éclair
855,86,6,Donnerwelle
856,86,7,Onda Trueno
857,86,8,Tuononda
858,86,9,Thunder Wave
859,86,11,でんじは
860,86,12,电磁波
861,87,1,かみなり
862,87,3,번개
863,87,4,打雷
864,87,5,Fatal-Foudre
865,87,6,Donner
866,87,7,Trueno
867,87,8,Tuono
868,87,9,Thunder
869,87,11,かみなり
870,87,12,打雷
871,88,1,いわおとし
872,88,3,돌떨구기
873,88,4,落石
874,88,5,Jet-Pierres
875,88,6,Steinwurf
876,88,7,Lanzarrocas
877,88,8,Sassata
878,88,9,Rock Throw
879,88,11,いわおとし
880,88,12,落石
881,89,1,じしん
882,89,3,지진
883,89,4,地震
884,89,5,Séisme
885,89,6,Erdbeben
886,89,7,Terremoto
887,89,8,Terremoto
888,89,9,Earthquake
889,89,11,じしん
890,89,12,地震
891,90,1,じわれ
892,90,3,땅가르기
893,90,4,地裂
894,90,5,Abîme
895,90,6,Geofissur
896,90,7,Fisura
897,90,8,Abisso
898,90,9,Fissure
899,90,11,じわれ
900,90,12,地裂
901,91,1,あなをほる
902,91,3,구멍파기
903,91,4,挖洞
904,91,5,Tunnel
905,91,6,Schaufler
906,91,7,Excavar
907,91,8,Fossa
908,91,9,Dig
909,91,11,あなをほる
910,91,12,挖洞
911,92,1,どくどく
912,92,3,맹독
913,92,4,劇毒
914,92,5,Toxik
915,92,6,Toxin
916,92,7,Tóxico
917,92,8,Tossina
918,92,9,Toxic
919,92,11,どくどく
920,92,12,剧毒
921,93,1,ねんりき
922,93,3,염동력
923,93,4,念力
924,93,5,Choc Mental
925,93,6,Konfusion
926,93,7,Confusión
927,93,8,Confusione
928,93,9,Confusion
929,93,11,ねんりき
930,93,12,念力
931,94,1,サイコキネシス
932,94,3,사이코키네시스
933,94,4,精神強念
934,94,5,Psyko
935,94,6,Psychokinese
936,94,7,Psíquico
937,94,8,Psichico
938,94,9,Psychic
939,94,11,サイコキネシス
940,94,12,精神强念
941,95,1,さいみんじゅつ
942,95,3,최면술
943,95,4,催眠術
944,95,5,Hypnose
945,95,6,Hypnose
946,95,7,Hipnosis
947,95,8,Ipnosi
948,95,9,Hypnosis
949,95,11,さいみんじゅつ
950,95,12,催眠术
951,96,1,ヨガのポーズ
952,96,3,요가포즈
953,96,4,瑜伽姿勢
954,96,5,Yoga
955,96,6,Meditation
956,96,7,Meditación
957,96,8,Meditazione
958,96,9,Meditate
959,96,11,ヨガのポーズ
960,96,12,瑜伽姿势
961,97,1,こうそくいどう
962,97,3,고속이동
963,97,4,高速移動
964,97,5,Hâte
965,97,6,Agilität
966,97,7,Agilidad
967,97,8,Agilità
968,97,9,Agility
969,97,11,こうそくいどう
970,97,12,高速移动
971,98,1,でんこうせっか
972,98,3,전광석화
973,98,4,電光一閃
974,98,5,Vive-Attaque
975,98,6,Ruckzuckhieb
976,98,7,Ataque Rápido
977,98,8,Attacco Rapido
978,98,9,Quick Attack
979,98,11,でんこうせっか
980,98,12,电光一闪
981,99,1,いかり
982,99,3,분노
983,99,4,憤怒
984,99,5,Frénésie
985,99,6,Raserei
986,99,7,Furia
987,99,8,Ira
988,99,9,Rage
989,99,11,いかり
990,99,12,愤怒
991,100,1,テレポート
992,100,3,순간이동
993,100,4,瞬間移動
994,100,5,Téléport
995,100,6,Teleport
996,100,7,Teletransporte
997,100,8,Teletrasporto
998,100,9,Teleport
999,100,11,テレポート
1000,100,12,瞬间移动
1001,101,1,ナイトヘッド
1002,101,3,나이트헤드
1003,101,4,黑夜魔影
1004,101,5,Ombre Nocturne
1005,101,6,Nachtnebel
1006,101,7,Tinieblas
1007,101,8,Ombra Notturna
1008,101,9,Night Shade
1009,101,11,ナイトヘッド
1010,101,12,黑夜魔影
1011,102,1,ものまね
1012,102,3,흉내내기
1013,102,4,模仿
1014,102,5,Copie
1015,102,6,Mimikry
1016,102,7,Mimético
1017,102,8,Mimica
1018,102,9,Mimic
1019,102,11,ものまね
1020,102,12,模仿
1021,103,1,いやなおと
1022,103,3,싫은소리
1023,103,4,刺耳聲
1024,103,5,Grincement
1025,103,6,Kreideschrei
1026,103,7,Chirrido
1027,103,8,Stridio
1028,103,9,Screech
1029,103,11,いやなおと
1030,103,12,刺耳声
1031,104,1,かげぶんしん
1032,104,3,그림자분신
1033,104,4,影子分身
1034,104,5,Reflet
1035,104,6,Doppelteam
1036,104,7,Doble Equipo
1037,104,8,Doppioteam
1038,104,9,Double Team
1039,104,11,かげぶんしん
1040,104,12,影子分身
1041,105,1,じこさいせい
1042,105,3,HP회복
1043,105,4,自我再生
1044,105,5,Soin
1045,105,6,Genesung
1046,105,7,Recuperación
1047,105,8,Ripresa
1048,105,9,Recover
1049,105,11,じこさいせい
1050,105,12,自我再生
1051,106,1,かたくなる
1052,106,3,단단해지기
1053,106,4,變硬
1054,106,5,Armure
1055,106,6,Härtner
1056,106,7,Fortaleza
1057,106,8,Rafforzatore
1058,106,9,Harden
1059,106,11,かたくなる
1060,106,12,变硬
1061,107,1,ちいさくなる
1062,107,3,작아지기
1063,107,4,變小
1064,107,5,Lilliput
1065,107,6,Komprimator
1066,107,7,Reducción
1067,107,8,Minimizzato
1068,107,9,Minimize
1069,107,11,ちいさくなる
1070,107,12,变小
1071,108,1,えんまく
1072,108,3,연막
1073,108,4,煙幕
1074,108,5,Brouillard
1075,108,6,Rauchwolke
1076,108,7,Pantalla de Humo
1077,108,8,Muro di Fumo
1078,108,9,Smokescreen
1079,108,11,えんまく
1080,108,12,烟幕
1081,109,1,あやしいひかり
1082,109,3,이상한빛
1083,109,4,奇異之光
1084,109,5,Onde Folie
1085,109,6,Konfusstrahl
1086,109,7,Rayo Confuso
1087,109,8,Stordiraggio
1088,109,9,Confuse Ray
1089,109,11,あやしいひかり
1090,109,12,奇异之光
1091,110,1,からにこもる
1092,110,3,껍질에숨기
1093,110,4,縮入殼中
1094,110,5,Repli
1095,110,6,Panzerschutz
1096,110,7,Refugio
1097,110,8,Ritirata
1098,110,9,Withdraw
1099,110,11,からにこもる
1100,110,12,缩入壳中
1101,111,1,まるくなる
1102,111,3,웅크리기
1103,111,4,變圓
1104,111,5,Boul’Armure
1105,111,6,Einigler
1106,111,7,Rizo Defensa
1107,111,8,Ricciolscudo
1108,111,9,Defense Curl
1109,111,11,まるくなる
1110,111,12,变圆
1111,112,1,バリアー
1112,112,3,배리어
1113,112,4,屏障
1114,112,5,Bouclier
1115,112,6,Barriere
1116,112,7,Barrera
1117,112,8,Barriera
1118,112,9,Barrier
1119,112,11,バリアー
1120,112,12,屏障
1121,113,1,ひかりのかべ
1122,113,3,빛의장막
1123,113,4,光牆
1124,113,5,Mur Lumière
1125,113,6,Lichtschild
1126,113,7,Pantalla de Luz
1127,113,8,Schermoluce
1128,113,9,Light Screen
1129,113,11,ひかりのかべ
